"ip","RiskScore","Country","CountryName","IsGeoBlocked","ISP","ASN","IsASNSuspicious","IsProxy","IsWebProxy","IsVPN","IsHosting","IsTor"
"168.151.101.217","0","","United States of America","False","Intelligence Network Inc.","","False","False","False","False","False","False"
"168.151.124.115","0","","United States of America","False","Intelligence Network Inc.","","False","False","False","False","False","False"
"168.151.124.134","40","","United States of America","False","Intelligence Network Inc.","","False","False","False","False","False","False"
"168.151.133.66","0","","United States of America","False","Intelligence Network Inc.","","False","False","False","False","False","False"
"168.151.165.254","0","","United States of America","False","Intelligence Network Inc.","","False","False","False","False","False","False"
"168.151.167.23","0","","United States of America","False","Intelligence Network Inc.","","False","False","False","False","False","False"
"168.151.172.25","0","","United States of America","False","Intelligence Network Inc.","","False","False","False","False","False","False"
"168.151.179.137","40","","United States of America","False","Intelligence Network Inc.","","False","False","False","False","False","False"
"168.151.179.33","0","","United States of America","False","Intelligence Network Inc.","","False","False","False","False","False","False"
"168.151.185.15","0","","United States of America","False","Intelligence Network Inc.","","False","False","False","False","False","False"
"168.151.198.70","0","","United States of America","False","Intelligence Network Inc.","","False","False","False","False","False","False"
"168.151.199.188","0","","United States of America","False","Intelligence Network Inc.","","False","False","False","False","False","False"
"168.151.199.29","40","","United States of America","False","Intelligence Network Inc.","","False","False","False","False","False","False"
"168.151.240.203","0","","United States of America","False","Intelligence Network Inc.","","False","False","False","False","False","False"
"168.151.246.168","0","","United States of America","False","Intelligence Network Inc.","","False","False","False","False","False","False"
"185.246.172.16","40","","United States of America","False","Bright Data Limited","AS207990","False","False","False","False","True","False"
"185.246.173.114","0","","United States of America","False","Bright Data Limited","AS207990","False","False","False","False","True","False"
"185.246.173.197","0","","United States of America","False","Bright Data Limited","AS207990","False","False","False","False","True","False"
"193.47.36.37","60","","United Arab Emirates","False","Beyond Tomorrow Ltd","AS9009","False","False","False","True","True","False"
"193.47.36.87","20","","United Arab Emirates","False","Beyond Tomorrow Ltd","AS9009","False","False","False","True","True","False"
"46.232.209.11","0","","United States of America","False","Bright Data Limited","AS207990","False","False","False","False","True","False"
"46.232.209.144","0","","United States of America","False","Bright Data Limited","AS207990","False","False","False","False","True","False"
"46.232.209.34","60","","United States of America","False","Bright Data Limited","AS207990","False","False","False","False","True","False"
"46.232.209.9","0","","United States of America","False","Bright Data Limited","AS207990","False","False","False","False","True","False"
"91.197.254.220","0","","India","False","TruView LLC","AS203020","False","False","False","False","True","False"
"91.197.254.250","0","","India","False","TruView LLC","AS203020","False","False","False","False","True","False"
"91.197.255.102","0","","India","False","TruView LLC","AS203020","False","False","False","False","True","False"
"91.197.255.86","0","","India","False","TruView LLC","AS203020","False","False","False","False","True","False"
"206.204.45.19","40","","United States of America","False","Steel-Axis LLC","AS207990","False","False","False","False","True","False"
"136.227.167.158","0","","United States of America","False","ClearDocks LLC","AS20473","False","False","False","False","True","False"
"193.46.204.219","40","","United Kingdom of Great Britain and Northern Ireland","False","Steel-Axis LLC","AS20473","False","False","False","False","True","False"
"103.119.111.227","0","","Azerbaijan","True","HostRoyale Technologies Pvt Ltd","AS203020","False","False","False","False","True","False"
"","","","","True","","","False","","","","",""
"134.199.93.49","40","","United States of America","False","ClearDocks LLC","AS20473","False","False","False","False","True","False"
"134.199.94.62","0","","United States of America","False","ClearDocks LLC","AS20473","False","False","False","False","True","False"
"161.129.168.35","0","","United States of America","False","Oculus Networks Inc","AS20473","False","False","False","False","True","False"
"88.214.3.197","20","","Finland","False","Rexton Enterprise Group Inc.","AS9009","False","False","False","True","True","False"
"62.60.231.22","0","","Sweden","False","Smart Digital Ideas DOO","AS210644","False","False","False","False","False","False"
"90.151.59.121","0","","Russian Federation","True","OJSC Rostelecom","AS12389","False","False","False","False","False","False"
"93.183.101.186","0","","United States of America","False","Host-Telecom.com s.r.o.","AS62240","False","False","False","False","True","False"
"82.25.235.118","0","","Ireland","False","Internet Utilities Europe and Asia Limited","AS30900","False","False","False","False","True","False"
"193.138.218.61","0","","Sweden","False","31173 Services AB","AS39351","False","False","False","False","False","False"
"141.98.255.152","60","","Sweden","False","31173 Services AB","AS39351","False","False","False","False","False","False"
"141.98.255.150","70","","Sweden","False","31173 Services AB","AS39351","False","False","False","False","False","False"
"185.65.134.174","60","","Netherlands (Kingdom of the)","False","31173 Services AB","AS39351","False","False","False","False","False","False"
"185.65.134.178","90","","Netherlands (Kingdom of the)","False","31173 Services AB","AS39351","False","False","False","False","False","False"
"109.236.61.115","100","","United States of America","False","ColocationX Ltd.","AS213613","False","False","False","False","True","False"
"101.53.150.66","0","","India","False","E2E Networks Private Limited","AS132420","False","False","False","False","True","False"
"101.53.150.67","0","","India","False","E2E Networks Private Limited","AS132420","False","False","False","False","True","False"
"76.223.180.103","0","","United States of America","False","Amazon Web Services Inc.","AS16509","False","False","False","False","True","False"
"76.223.180.105","0","","United States of America","False","Amazon Web Services Inc.","AS16509","False","False","False","False","True","False"
"76.223.180.101","0","","United States of America","False","Amazon Web Services Inc.","AS16509","False","False","False","False","True","False"
"76.223.180.118","0","","United States of America","False","Amazon Web Services Inc.","AS16509","False","False","False","False","True","False"
"76.223.180.108","0","","United States of America","False","Amazon Web Services Inc.","AS16509","False","False","False","False","True","False"
"76.223.180.106","0","","United States of America","False","Amazon Web Services Inc.","AS16509","False","False","False","False","True","False"
"76.223.180.107","0","","United States of America","False","Amazon Web Services Inc.","AS16509","False","False","False","False","True","False"
"76.223.180.121","0","","United States of America","False","Amazon Web Services Inc.","AS16509","False","False","False","False","True","False"
"76.223.180.104","0","","United States of America","False","Amazon Web Services Inc.","AS16509","False","False","False","False","True","False"
"76.223.180.116","0","","United States of America","False","Amazon Web Services Inc.","AS16509","False","False","False","False","True","False"
"76.223.180.102","0","","United States of America","False","Amazon Web Services Inc.","AS16509","False","False","False","False","True","False"
"76.223.180.117","0","","United States of America","False","Amazon Web Services Inc.","AS16509","False","False","False","False","True","False"
"76.223.180.122","0","","United States of America","False","Amazon Web Services Inc.","AS16509","False","False","False","False","True","False"
